dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
openml:31,classification,700,20,mar,0.5,0.4965,0,xgboost,0.06861495971679688,,0.7166666666666667,0.5995028614997864,0.7241269841269842,,,,
openml:31,classification,700,20,mar,0.5,0.4965,0,catboost,0.28716516494750977,,0.6966666666666667,0.6553293871952861,0.6567724867724868,,,,
openml:31,classification,700,20,mnar,0.1,0.10135,0,tabicl_impute,0.29542088508605957,,0.7433333333333333,0.4895344078540802,0.7975661375661376,,,,
openml:31,classification,700,20,mnar,0.1,0.10135,0,tabicl_indicator,0.3968973159790039,,0.74,0.5022043585777283,0.7839153439153439,,,,
openml:31,classification,700,20,mnar,0.1,0.10135,0,tabicl_aware_zero,0.36255693435668945,,0.7633333333333333,0.4870210886001587,0.7995767195767195,,,,
openml:31,classification,700,20,mnar,0.1,0.10135,0,tabicl_aware,0.3587210178375244,,0.76,0.4853740930557251,0.800899470899471,,,,
openml:31,classification,700,20,mnar,0.1,0.10135,0,xgboost,0.06919336318969727,,0.7433333333333333,0.6282885670661926,0.7505291005291005,,,,
openml:31,classification,700,20,mnar,0.1,0.10135,0,catboost,0.30141139030456543,,0.7566666666666667,0.5621634242617475,0.7756613756613756,,,,
openml:31,classification,700,20,mnar,0.3,0.2954,0,tabicl_impute,0.2888500690460205,,0.76,0.4979124069213867,0.7868783068783068,,,,
openml:31,classification,700,20,mnar,0.3,0.2954,0,tabicl_indicator,0.3849918842315674,,0.76,0.5016101598739624,0.7831746031746033,,,,
openml:31,classification,700,20,mnar,0.3,0.2954,0,tabicl_aware_zero,0.29349613189697266,,0.7666666666666667,0.4972875416278839,0.7885185185185186,,,,
openml:31,classification,700,20,mnar,0.3,0.2954,0,tabicl_aware,0.35311079025268555,,0.7566666666666667,0.5014421343803406,0.7823809523809524,,,,
openml:31,classification,700,20,mnar,0.3,0.2954,0,xgboost,0.0692141056060791,,0.72,0.6514708399772644,0.7186243386243386,,,,
openml:31,classification,700,20,mnar,0.3,0.2954,0,catboost,0.29306721687316895,,0.74,0.5903726138912394,0.7456084656084657,,,,
openml:31,classification,700,20,mnar,0.5,0.4995,0,tabicl_impute,0.2870194911956787,,0.7333333333333333,0.5119593143463135,0.7687830687830687,,,,
openml:31,classification,700,20,mnar,0.5,0.4995,0,tabicl_indicator,0.36601877212524414,,0.72,0.5189202427864075,0.7592592592592593,,,,
openml:31,classification,700,20,mnar,0.5,0.4995,0,tabicl_aware_zero,0.2931859493255615,,0.7366666666666667,0.5148070454597473,0.7628571428571428,,,,
openml:31,classification,700,20,mnar,0.5,0.4995,0,tabicl_aware,0.3551304340362549,,0.73,0.5098198652267456,0.7692063492063491,,,,
openml:31,classification,700,20,mnar,0.5,0.4995,0,xgboost,0.06978940963745117,,0.7466666666666667,0.5586805939674377,0.7722751322751322,,,,
openml:31,classification,700,20,mnar,0.5,0.4995,0,catboost,0.2767205238342285,,0.74,0.5799916954885321,0.7377248677248677,,,,
openml:31,classification,700,20,block,0.1,0.1,0,tabicl_impute,0.2886464595794678,,0.79,0.46019673347473145,0.8304761904761904,,,,
openml:31,classification,700,20,block,0.1,0.1,0,tabicl_indicator,0.3362748622894287,,0.78,0.46316641569137573,0.8279365079365081,,,,
openml:31,classification,700,20,block,0.1,0.1,0,tabicl_aware_zero,0.2925868034362793,,0.7933333333333333,0.45960164070129395,0.8316402116402117,,,,
openml:31,classification,700,20,block,0.1,0.1,0,tabicl_aware,0.3563053607940674,,0.79,0.4592585265636444,0.8342328042328042,,,,
openml:31,classification,700,20,block,0.1,0.1,0,xgboost,0.06284189224243164,,0.75,0.5685528516769409,0.7744973544973546,,,,
openml:31,classification,700,20,block,0.1,0.1,0,catboost,0.2871084213256836,,0.7633333333333333,0.5599571274009975,0.7862962962962964,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,tabicl_impute,0.2948288917541504,,0.76,0.4800621569156647,0.8100529100529099,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,tabicl_indicator,0.33205676078796387,,0.76,0.4823744595050812,0.8087830687830688,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,tabicl_aware_zero,0.2940666675567627,,0.7566666666666667,0.47845762968063354,0.8135449735449733,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,tabicl_aware,0.3547189235687256,,0.75,0.4798245131969452,0.8117989417989419,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,xgboost,0.062143564224243164,,0.7166666666666667,0.5971758365631104,0.7222222222222223,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,catboost,0.2714850902557373,,0.7266666666666667,0.6042538520095286,0.7272486772486773,,,,
openml:31,classification,700,20,block,0.5,0.48935,0,tabicl_impute,0.28456950187683105,,0.7066666666666667,0.545240044593811,0.7198412698412698,,,,
openml:31,classification,700,20,block,0.5,0.48935,0,tabicl_indicator,0.3773305416107178,,0.7033333333333334,0.5461202263832092,0.7168783068783069,,,,
openml:31,classification,700,20,block,0.5,0.48935,0,tabicl_aware_zero,0.2944951057434082,,0.6966666666666667,0.5457376837730408,0.717037037037037,,,,
openml:31,classification,700,20,block,0.5,0.48935,0,tabicl_aware,0.40381932258605957,,0.6833333333333333,0.5456419587135315,0.7187301587301587,,,,
openml:31,classification,700,20,block,0.5,0.48935,0,xgboost,0.05950522422790527,,0.6966666666666667,0.6313148736953735,0.6753439153439154,,,,
openml:31,classification,700,20,block,0.5,0.48935,0,catboost,0.25590038299560547,,0.71,0.6245778916710344,0.6873544973544974,,,,
openml:31,classification,700,20,none,0.0,0.0,1,tabicl_impute,0.29576992988586426,,0.7766666666666666,0.4645870327949524,0.8243386243386245,,,,
openml:31,classification,700,20,none,0.0,0.0,1,tabicl_indicator,0.2941627502441406,,0.7766666666666666,0.4645870327949524,0.8243386243386245,,,,
openml:31,classification,700,20,none,0.0,0.0,1,tabicl_aware_zero,0.29923272132873535,,0.7766666666666666,0.4645870327949524,0.8243386243386245,,,,
openml:31,classification,700,20,none,0.0,0.0,1,tabicl_aware,0.3578629493713379,,0.7733333333333333,0.46406087279319763,0.8239153439153438,,,,
openml:31,classification,700,20,none,0.0,0.0,1,xgboost,0.06302499771118164,,0.7733333333333333,0.5411013960838318,0.8013227513227514,,,,
openml:31,classification,700,20,none,0.0,0.0,1,catboost,0.2797212600708008,,0.79,0.5156855488475127,0.80994708994709,,,,
openml:31,classification,700,20,mcar,0.1,0.10205,1,tabicl_impute,0.2886984348297119,,0.7366666666666667,0.48959481716156006,0.7984126984126985,,,,
openml:31,classification,700,20,mcar,0.1,0.10205,1,tabicl_indicator,0.39671802520751953,,0.7366666666666667,0.4939362108707428,0.7930158730158732,,,,
openml:31,classification,700,20,mcar,0.1,0.10205,1,tabicl_aware_zero,0.29585886001586914,,0.7433333333333333,0.4894212484359741,0.7993121693121693,,,,
openml:31,classification,700,20,mcar,0.1,0.10205,1,tabicl_aware,0.35890650749206543,,0.73,0.48633259534835815,0.804074074074074,,,,
openml:31,classification,700,20,mcar,0.1,0.10205,1,xgboost,0.07134437561035156,,0.73,0.5963293313980103,0.7641798941798942,,,,
openml:31,classification,700,20,mcar,0.1,0.10205,1,catboost,0.2680227756500244,,0.7266666666666667,0.5635453822824168,0.7738624338624339,,,,
openml:31,classification,700,20,mcar,0.3,0.30195,1,tabicl_impute,0.28926849365234375,,0.72,0.5282092094421387,0.7515343915343916,,,,
openml:31,classification,700,20,mcar,0.3,0.30195,1,tabicl_indicator,0.38702917098999023,,0.7133333333333334,0.531583845615387,0.7477248677248677,,,,
openml:31,classification,700,20,mcar,0.3,0.30195,1,tabicl_aware_zero,0.2960474491119385,,0.72,0.530509352684021,0.75005291005291,,,,
openml:31,classification,700,20,mcar,0.3,0.30195,1,tabicl_aware,0.35717082023620605,,0.71,0.5374452471733093,0.743068783068783,,,,
openml:31,classification,700,20,mcar,0.3,0.30195,1,xgboost,0.06951498985290527,,0.7433333333333333,0.6223540902137756,0.7285185185185186,,,,
openml:31,classification,700,20,mcar,0.3,0.30195,1,catboost,0.2871825695037842,,0.7533333333333333,0.6342907273294692,0.7201587301587302,,,,
openml:31,classification,700,20,mcar,0.5,0.5039,1,tabicl_impute,0.2869899272918701,,0.7233333333333334,0.5611171722412109,0.6861904761904762,,,,
openml:31,classification,700,20,mcar,0.5,0.5039,1,tabicl_indicator,0.36713719367980957,,0.7166666666666667,0.5664865970611572,0.6831216931216932,,,,
openml:31,classification,700,20,mcar,0.5,0.5039,1,tabicl_aware_zero,0.2907686233520508,,0.7266666666666667,0.5618895292282104,0.6858201058201059,,,,
openml:31,classification,700,20,mcar,0.5,0.5039,1,tabicl_aware,0.35406970977783203,,0.7233333333333334,0.5603775382041931,0.6866666666666666,,,,
openml:31,classification,700,20,mcar,0.5,0.5039,1,xgboost,0.06801772117614746,,0.7133333333333334,0.6110267639160156,0.6876190476190476,,,,
openml:31,classification,700,20,mcar,0.5,0.5039,1,catboost,0.2862987518310547,,0.71,0.6492870615671821,0.6513227513227514,,,,
openml:31,classification,700,20,mar,0.1,0.1008,1,tabicl_impute,0.28490519523620605,,0.7633333333333333,0.4877208471298218,0.7988359788359789,,,,
openml:31,classification,700,20,mar,0.1,0.1008,1,tabicl_indicator,0.384845495223999,,0.7533333333333333,0.49067285656929016,0.7944444444444444,,,,
openml:31,classification,700,20,mar,0.1,0.1008,1,tabicl_aware_zero,0.295013427734375,,0.7666666666666667,0.48790985345840454,0.7987301587301587,,,,
openml:31,classification,700,20,mar,0.1,0.1008,1,tabicl_aware,0.3560206890106201,,0.76,0.48878398537635803,0.7971428571428572,,,,
openml:31,classification,700,20,mar,0.1,0.1008,1,xgboost,0.06467795372009277,,0.7533333333333333,0.5739593505859375,0.7757142857142857,,,,
openml:31,classification,700,20,mar,0.1,0.1008,1,catboost,0.29059815406799316,,0.7833333333333333,0.520835097700489,0.7921693121693122,,,,
openml:31,classification,700,20,mar,0.3,0.29945,1,tabicl_impute,0.28708791732788086,,0.72,0.5291862487792969,0.7514285714285713,,,,
openml:31,classification,700,20,mar,0.3,0.29945,1,tabicl_indicator,0.3871793746948242,,0.7233333333333334,0.5347886085510254,0.74,,,,
openml:31,classification,700,20,mar,0.3,0.29945,1,tabicl_aware_zero,0.2952561378479004,,0.7266666666666667,0.5254348516464233,0.7567724867724869,,,,
openml:31,classification,700,20,mar,0.3,0.29945,1,tabicl_aware,0.35791516304016113,,0.7233333333333334,0.5253835916519165,0.7551851851851853,,,,
openml:31,classification,700,20,mar,0.3,0.29945,1,xgboost,0.0701596736907959,,0.7066666666666667,0.6592472791671753,0.691957671957672,,,,
