family,dim,n_train,seed,model,nrmse,time,error
product,8,1000,1,tabicl_released,0.14407484492512754,0.26024580001831055,
product,8,1000,1,tabicl_m,0.14824190162342918,0.32596611976623535,
product,8,1000,2,tabicl_released,0.03059354599024425,0.2641456127166748,
product,8,1000,2,tabicl_m,0.027178633154518156,0.325927734375,
product,8,3000,0,tabicl_released,0.11570814578230443,0.2687032222747803,
product,8,3000,0,tabicl_m,0.11604437969165297,0.33889102935791016,
product,8,3000,1,tabicl_released,0.019942076659945417,0.2700784206390381,
product,8,3000,1,tabicl_m,0.04143355651569696,0.3392207622528076,
product,8,3000,2,tabicl_released,0.059461707860851656,0.27224087715148926,
product,8,3000,2,tabicl_m,0.06053674345036749,0.33892011642456055,
loglinear,1,300,0,tabicl_released,0.06345371822879112,0.20572924613952637,
loglinear,1,300,0,tabicl_m,0.07173312277685377,0.2694733142852783,
loglinear,1,300,1,tabicl_released,0.010719537302910663,0.20295357704162598,
loglinear,1,300,1,tabicl_m,0.011024599770150082,0.2681596279144287,
loglinear,1,300,2,tabicl_released,0.012847151473334846,0.20742559432983398,
loglinear,1,300,2,tabicl_m,0.012480732021984232,0.26892733573913574,
loglinear,1,1000,0,tabicl_released,0.01052903413726597,0.26632237434387207,
loglinear,1,1000,0,tabicl_m,0.011308594341581692,0.2889585494995117,
loglinear,1,1000,1,tabicl_released,0.013103577423556266,0.22579026222229004,
loglinear,1,1000,1,tabicl_m,0.013273775178039071,0.2899649143218994,
loglinear,1,1000,2,tabicl_released,0.10457342964864565,0.22552061080932617,
loglinear,1,1000,2,tabicl_m,0.10433019003366854,0.28879570960998535,
loglinear,1,3000,0,tabicl_released,0.01014205149228858,0.22691583633422852,
loglinear,1,3000,0,tabicl_m,0.010491201703868674,0.294630765914917,
loglinear,1,3000,1,tabicl_released,0.010498252597188121,0.22855758666992188,
loglinear,1,3000,1,tabicl_m,0.011194551923648325,0.29448890686035156,
loglinear,1,3000,2,tabicl_released,0.017010977173977163,0.2294752597808838,
loglinear,1,3000,2,tabicl_m,0.014147446591686187,0.29552555084228516,
loglinear,8,300,0,tabicl_released,0.05862729134392444,0.22241568565368652,
loglinear,8,300,0,tabicl_m,0.065635661047223,0.2861504554748535,
loglinear,8,300,1,tabicl_released,0.38761212065551887,0.2205665111541748,
loglinear,8,300,1,tabicl_m,0.3892686775266283,0.2852976322174072,
loglinear,8,300,2,tabicl_released,0.30284366741067387,0.22262215614318848,
loglinear,8,300,2,tabicl_m,0.30133668691994564,0.28624486923217773,
loglinear,8,1000,0,tabicl_released,0.039931204470260405,0.25739336013793945,
loglinear,8,1000,0,tabicl_m,0.026339183747782453,0.3295252323150635,
loglinear,8,1000,1,tabicl_released,0.1212212096524417,0.3087341785430908,
loglinear,8,1000,1,tabicl_m,0.12631558785621053,0.3309144973754883,
loglinear,8,1000,2,tabicl_released,0.15843208012873072,0.2580738067626953,
loglinear,8,1000,2,tabicl_m,0.1638310396214608,0.32854413986206055,
loglinear,8,3000,0,tabicl_released,0.035239480778666184,0.2691051959991455,
loglinear,8,3000,0,tabicl_m,0.032854103565007536,0.3419461250305176,
loglinear,8,3000,1,tabicl_released,0.28768711182006584,0.280289888381958,
loglinear,8,3000,1,tabicl_m,0.2867695308504518,0.34224462509155273,
loglinear,8,3000,2,tabicl_released,0.026265788856931423,0.27114129066467285,
loglinear,8,3000,2,tabicl_m,0.053617315715381815,0.3412923812866211,
