,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
29,CHIMERA (tuned),1341.1,57.1,57.3,36.205882352941174,0.5808823529411765,0.17036224348050857,0.07001571862471345,0.0483347854545855,0.06199216921610449,1.0,0.0,1.0,49.0,2890.610516492058,0.5817884089899998,1150.2055051629088,0.08884505774600714,0.791056152260969,0.791056152260969,0.0,37.0,0.09143742930445109,0.08457106932693804,0.2121367521367521,2245.643702507019,0.09977912902832031,518.4647612375757,0.04521038266424518,0.9296006142414416,0.9296006142414416,0.0,hpo,tuned,CHIMERA,ChimeraBoost,tabarena-2026-08-10
30,CAT (default),1336.2,37.4,44.0,36.64705882352941,0.5756302521008403,0.16560338718866455,0.06695690768742651,0.04095899172882697,0.03780050277828362,0.0,0.0,1.0,50.0,103.6011841951632,0.15202934134240245,52.28975731533162,0.07970607598731966,0.8194291079298102,0.8194291079298102,0.0,34.0,0.09198543214426436,0.08144257117334332,0.2092404925356871,16.578909873962402,0.05088019371032715,5.805220015613909,0.024788761138916014,0.8740849194729261,0.8740849194729261,0.0,config,default,CAT,CatBoost,tabarena-2026-07-13
31,GBM (tuned),1335.2,43.6,45.1,36.73529411764706,0.5745798319327731,0.16811252472662674,0.060473281751692254,0.042601436158567346,0.03230550339260715,0.0,0.0,0.0,51.0,3051.8140357896395,3.3178744736839745,765.8082409622898,0.6785869099597016,0.8318066498031111,0.8318066498031111,0.0,36.0,0.11532588876363281,0.0991346259174066,0.20978825401159662,1670.2684843540192,0.7316880226135254,416.62818478752655,0.3811195826851199,0.9104243641711739,0.9104243641711739,0.0,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
32,MNCA_GPU (tuned),1334.5,55.3,56.5,36.794117647058826,0.5738795518207283,0.16766387503014987,0.058221614621386225,0.04393703693305778,0.04168425413004882,0.0,0.0,1.0,50.0,50606.46933756155,14.969161491768032,6202.203617271756,1.669322546628637,0.7919309067500857,0.7919309067500857,0.0,35.0,0.10154721678819079,0.09245276964436491,0.20446769096654682,14787.927460432053,0.6251811981201172,4618.502341732761,0.46952933073043823,0.8712418352611029,0.8712418352611029,0.0,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
33,TA-TABSWIFT (default),1329.8,66.6,51.2,37.22549019607843,0.5687441643323996,0.16826582578919688,0.059500313481956,0.039859743913546936,0.039919604257791445,0.0,0.0,0.0,51.0,19.78455920780406,1.278724707809149,4.8156390997470115,0.10047828181487667,0.7941237246988858,0.7941237246988858,0.0,37.0,0.1119354838709673,0.10193966407981216,0.20855432292087517,5.0883283615112305,0.17104506492614746,1.1859471422766672,0.06957077285618458,0.9069767441860521,0.9069767441860521,0.0,config,default,TA-TABSWIFT,TabSwift,tabarena-2026-07-13
34,XGB (tuned),1328.1,40.6,46.3,37.372549019607845,0.5669934640522876,0.16690504937042488,0.061265266701193116,0.042199089249803035,0.0373622857448816,0.0,0.0,1.0,50.0,5938.998393348619,1.6265712625840132,1213.3163052310745,0.698054007863544,0.8440694044897565,0.8440694044897565,0.0,38.0,0.11216921548647374,0.09777122617777795,0.20927136360385667,2063.2708826065063,0.5078930854797363,700.9607998746845,0.2127694573631899,0.9393939393939362,0.9393939393939362,0.0,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
35,XRFM_GPU (tuned + ensemble),1324.5,56.6,46.4,37.705882352941174,0.5630252100840336,0.16792819058325334,0.06394517750488979,0.043946768772709074,0.041295164905974825,0.0,1.0,0.0,50.0,14022.497099048951,27.070390402102003,1406.561756989208,4.732018848323726,0.7941258389591667,0.7941258389591667,0.0,34.0,0.10419926525614087,0.1041295204362952,0.20968345101227884,2211.918614625931,4.1532275676727295,866.1169883185313,2.0069414377212524,0.83587690764006,0.83587690764006,0.0,hpo,tuned_ensemble,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
36,TABPFNV2_GPU (tuned + ensemble),1315.4,67.2,67.2,38.529411764705884,0.5532212885154062,0.17537951579887714,0.056996654049641965,0.0455711378710186,0.04528698783282783,0.0,0.0,0.0,51.0,9280.937638614692,101.0832102392234,2836.5315057319253,48.195264406141796,0.7501564079565418,0.7501564079565418,0.35294117647058826,35.0,0.10100212291445176,0.11027457927369384,0.21666389261196228,1926.0209152698517,7.814479351043701,2943.3924917131662,17.365016988925518,0.9153287882120152,0.9153287882120152,0.0,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
37,MITRA_GPU (default),1291.4,54.0,67.2,40.72549019607843,0.527077497665733,0.18293401293594527,0.05601165685132714,0.04240062139759454,0.04129388855142491,0.0,0.0,1.0,50.0,417.8125674724579,6.376229664858649,123.07940532784106,3.1849498588377285,0.803430965487651,0.803430965487651,0.35294117647058826,41.0,0.13281455220749794,0.12227009813796817,0.2272898224746004,77.5374767780304,0.9704930782318115,87.35746758825638,2.432162346648348,0.9740394842669673,0.9740394842669673,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
38,TA-ILTM (tuned),1291.0,43.4,42.2,40.76470588235294,0.5266106442577031,0.1707053355288585,0.055361574905303884,0.03794086254412887,0.030429789251996228,0.0,0.0,0.0,51.0,49850.45392826492,171.2311054865519,18939.401532662003,229.91135528287822,0.8626989346669633,0.8626989346669633,0.0,42.0,0.10055144862638832,0.09495394326397363,0.21051301510832732,54253.49664258957,121.1443555355072,12741.093915793572,60.10085108668305,0.9894319380129226,0.9894319380129226,0.0,hpo,tuned,TA-ILTM,iLTM,tabarena-2026-05-13
