dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,block,0.3,0.21728178090216754,0,tabicl_aware_zero,0.3168201446533203,,0.9766081871345029,0.07773725688457489,0.9940128504672897,,,,
breast_cancer,classification,398,30,block,0.3,0.21728178090216754,0,tabicl_aware,0.3760213851928711,,0.9766081871345029,0.07817050069570541,0.9940128504672897,,,,
breast_cancer,classification,398,30,block,0.3,0.21728178090216754,0,xgboost,0.061975717544555664,,0.9473684210526315,0.13277867436408997,0.9853971962616822,,,,
breast_cancer,classification,398,30,block,0.3,0.21728178090216754,0,catboost,0.4125022888183594,,0.9532163742690059,0.10931834301766322,0.9871495327102804,,,,
breast_cancer,classification,398,30,block,0.5,0.4869361452841242,0,tabicl_impute,0.30228376388549805,,0.9532163742690059,0.10547205060720444,0.9922605140186915,,,,
breast_cancer,classification,398,30,block,0.5,0.4869361452841242,0,tabicl_indicator,0.42447686195373535,,0.9649122807017544,0.10664136707782745,0.991822429906542,,,,
breast_cancer,classification,398,30,block,0.5,0.4869361452841242,0,tabicl_aware_zero,0.3107612133026123,,0.9532163742690059,0.10605325549840927,0.9922605140186915,,,,
breast_cancer,classification,398,30,block,0.5,0.4869361452841242,0,tabicl_aware,0.36922621726989746,,0.9590643274853801,0.10478832572698593,0.991822429906542,,,,
breast_cancer,classification,398,30,block,0.5,0.4869361452841242,0,xgboost,0.07812047004699707,,0.9415204678362573,0.15171633660793304,0.9853971962616822,,,,
breast_cancer,classification,398,30,block,0.5,0.4869361452841242,0,catboost,0.3987913131713867,,0.9415204678362573,0.16609282022353614,0.9842289719626168,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,tabicl_impute,0.31782054901123047,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,tabicl_indicator,0.314159631729126,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,tabicl_aware_zero,0.31402063369750977,,0.9532163742690059,0.08575630933046341,0.9931366822429907,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,tabicl_aware,0.3773207664489746,,0.9590643274853801,0.0862879678606987,0.993428738317757,,,,
